frame,time_s,detected,px_x,px_y,pool_x_m,pool_y_m,speed_mps,orange_area_px2,cluster_contours,num_orange_candidates
213,7.105722054190297,False,nan,nan,nan,nan,nan,0.0,0,3
214,7.139082251627809,False,nan,nan,nan,nan,nan,0.0,0,4
215,7.172442449065323,False,nan,nan,nan,nan,nan,0.0,0,2
216,7.2058026465028355,False,nan,nan,nan,nan,nan,0.0,0,3
217,7.239162843940349,False,nan,nan,nan,nan,nan,0.0,0,2
218,7.2725230413778625,False,nan,nan,nan,nan,nan,0.0,0,4
219,7.305883238815375,False,nan,nan,nan,nan,nan,0.0,0,2
220,7.339243436252889,False,nan,nan,nan,nan,nan,0.0,0,1
221,7.372603633690401,False,nan,nan,nan,nan,nan,0.0,0,2
222,7.405963831127915,False,nan,nan,nan,nan,nan,0.0,0,3
223,7.439324028565427,False,nan,nan,nan,nan,nan,0.0,0,1
224,7.472684226002941,False,nan,nan,nan,nan,nan,0.0,0,1
225,7.506044423440454,False,nan,nan,nan,nan,nan,0.0,0,1
226,7.539404620877967,False,nan,nan,nan,nan,nan,0.0,0,1
227,7.5727648183154805,False,nan,nan,nan,nan,nan,0.0,0,1
228,7.606125015752993,False,nan,nan,nan,nan,nan,0.0,0,1
229,7.639485213190507,False,nan,nan,nan,nan,nan,0.0,0,1
230,7.672845410628019,False,nan,nan,nan,nan,nan,0.0,0,1
231,7.706205608065533,False,nan,nan,nan,nan,nan,0.0,0,1
232,7.739565805503046,False,nan,nan,nan,nan,nan,0.0,0,0
233,7.772926002940559,False,nan,nan,nan,nan,nan,0.0,0,0
234,7.806286200378072,False,nan,nan,nan,nan,nan,0.0,0,0
235,7.839646397815585,False,nan,nan,nan,nan,nan,0.0,0,2
236,7.8730065952530985,False,nan,nan,nan,nan,nan,0.0,0,3
237,7.906366792690611,False,nan,nan,nan,nan,nan,0.0,0,3
238,7.939726990128125,False,nan,nan,nan,nan,nan,0.0,0,1
239,7.973087187565638,False,nan,nan,nan,nan,nan,0.0,0,0
240,8.00644738500315,False,nan,nan,nan,nan,nan,0.0,0,0
241,8.039807582440664,False,nan,nan,nan,nan,nan,0.0,0,0
242,8.073167779878178,False,nan,nan,nan,nan,nan,0.0,0,0
243,8.10652797731569,False,nan,nan,nan,nan,nan,0.0,0,2
244,8.139888174753203,False,nan,nan,nan,nan,nan,0.0,0,2
245,8.173248372190717,False,nan,nan,nan,nan,nan,0.0,0,2
246,8.20660856962823,False,nan,nan,nan,nan,nan,0.0,0,0
247,8.239968767065744,False,nan,nan,nan,nan,nan,0.0,0,2
248,8.273328964503255,False,nan,nan,nan,nan,nan,0.0,0,2
249,8.306689161940769,False,nan,nan,nan,nan,nan,0.0,0,1
250,8.340049359378282,False,nan,nan,nan,nan,nan,0.0,0,1
251,8.373409556815796,False,nan,nan,nan,nan,nan,0.0,0,1
252,8.40676975425331,False,nan,nan,nan,nan,nan,0.0,0,0
253,8.440129951690821,False,nan,nan,nan,nan,nan,0.0,0,1
254,8.473490149128335,False,nan,nan,nan,nan,nan,0.0,0,1
255,8.506850346565848,False,nan,nan,nan,nan,nan,0.0,0,0
256,8.540210544003362,False,nan,nan,nan,nan,nan,0.0,0,0
257,8.573570741440875,False,nan,nan,nan,nan,nan,0.0,0,0
258,8.606930938878387,False,nan,nan,nan,nan,nan,0.0,0,0
259,8.6402911363159,False,nan,nan,nan,nan,nan,0.0,0,0
260,8.673651333753414,False,nan,nan,nan,nan,nan,0.0,0,1
261,8.707011531190927,False,nan,nan,nan,nan,nan,0.0,0,0
262,8.740371728628439,False,nan,nan,nan,nan,nan,0.0,0,1
263,8.773731926065953,False,nan,nan,nan,nan,nan,0.0,0,0
264,8.807092123503466,False,nan,nan,nan,nan,nan,0.0,0,1
265,8.84045232094098,False,nan,nan,nan,nan,nan,0.0,0,1
266,8.873812518378493,False,nan,nan,nan,nan,nan,0.0,0,0
267,8.907172715816005,False,nan,nan,nan,nan,nan,0.0,0,0
268,8.940532913253518,False,nan,nan,nan,nan,nan,0.0,0,0
269,8.973893110691032,False,nan,nan,nan,nan,nan,0.0,0,0
270,9.007253308128545,False,nan,nan,nan,nan,nan,0.0,0,0
271,9.040613505566059,False,nan,nan,nan,nan,nan,0.0,0,0
272,9.07397370300357,False,nan,nan,nan,nan,nan,0.0,0,0
273,9.107333900441084,False,nan,nan,nan,nan,nan,0.0,0,0
274,9.140694097878598,False,nan,nan,nan,nan,nan,0.0,0,0
275,9.174054295316111,False,nan,nan,nan,nan,nan,0.0,0,0
276,9.207414492753623,False,nan,nan,nan,nan,nan,0.0,0,1
277,9.240774690191136,False,nan,nan,nan,nan,nan,0.0,0,0
278,9.27413488762865,False,nan,nan,nan,nan,nan,0.0,0,1
279,9.307495085066163,False,nan,nan,nan,nan,nan,0.0,0,0
280,9.340855282503677,False,nan,nan,nan,nan,nan,0.0,0,1
281,9.374215479941189,False,nan,nan,nan,nan,nan,0.0,0,1
282,9.407575677378702,False,nan,nan,nan,nan,nan,0.0,0,1
283,9.440935874816216,False,nan,nan,nan,nan,nan,0.0,0,1
284,9.474296072253729,True,364.9791666666667,555.5277777777778,0.9973591566085815,1.7836686372756958,nan,144.0,2,2
285,9.507656269691243,False,nan,nan,nan,nan,nan,0.0,0,2
286,9.541016467128754,False,nan,nan,nan,nan,nan,0.0,0,2
287,9.574376664566268,False,nan,nan,nan,nan,nan,0.0,0,2
288,9.607736862003781,False,nan,nan,nan,nan,nan,0.0,0,3
289,9.641097059441295,False,nan,nan,nan,nan,nan,0.0,0,3
290,9.674457256878808,False,nan,nan,nan,nan,nan,0.0,0,2
291,9.70781745431632,False,nan,nan,nan,nan,nan,0.0,0,2
292,9.741177651753834,False,nan,nan,nan,nan,nan,0.0,0,3
293,9.774537849191347,False,nan,nan,nan,nan,nan,0.0,0,3
294,9.80789804662886,False,nan,nan,nan,nan,nan,0.0,0,2
295,9.841258244066372,False,nan,nan,nan,nan,nan,0.0,0,2
296,9.874618441503886,False,nan,nan,nan,nan,nan,0.0,0,2
297,9.9079786389414,False,nan,nan,nan,nan,nan,0.0,0,2
298,9.941338836378913,False,nan,nan,nan,nan,nan,0.0,0,2
299,9.974699033816426,False,nan,nan,nan,nan,nan,0.0,0,1
300,10.008059231253938,False,nan,nan,nan,nan,nan,0.0,0,2
301,10.041419428691452,False,nan,nan,nan,nan,nan,0.0,0,2
302,10.074779626128965,False,nan,nan,nan,nan,nan,0.0,0,2
303,10.108139823566479,False,nan,nan,nan,nan,nan,0.0,0,2
304,10.141500021003992,False,nan,nan,nan,nan,nan,0.0,0,2
305,10.174860218441504,False,nan,nan,nan,nan,nan,0.0,0,2
306,10.208220415879017,False,nan,nan,nan,nan,nan,0.0,0,1
307,10.24158061331653,False,nan,nan,nan,nan,nan,0.0,0,2
308,10.274940810754044,False,nan,nan,nan,nan,nan,0.0,0,2
309,10.308301008191556,False,nan,nan,nan,nan,nan,0.0,0,2
310,10.34166120562907,False,nan,nan,nan,nan,nan,0.0,0,2
311,10.375021403066583,False,nan,nan,nan,nan,nan,0.0,0,2
312,10.408381600504097,False,nan,nan,nan,nan,nan,0.0,0,2
313,10.44174179794161,False,nan,nan,nan,nan,nan,0.0,0,2
314,10.475101995379122,False,nan,nan,nan,nan,nan,0.0,0,1
315,10.508462192816635,False,nan,nan,nan,nan,nan,0.0,0,1
316,10.541822390254149,False,nan,nan,nan,nan,nan,0.0,0,1
317,10.575182587691662,False,nan,nan,nan,nan,nan,0.0,0,0
318,10.608542785129176,False,nan,nan,nan,nan,nan,0.0,0,0
319,10.641902982566688,False,nan,nan,nan,nan,nan,0.0,0,0
320,10.675263180004201,False,nan,nan,nan,nan,nan,0.0,0,1
321,10.708623377441715,False,nan,nan,nan,nan,nan,0.0,0,2
322,10.741983574879228,False,nan,nan,nan,nan,nan,0.0,0,2
323,10.775343772316742,False,nan,nan,nan,nan,nan,0.0,0,1
324,10.808703969754253,False,nan,nan,nan,nan,nan,0.0,0,1
325,10.842064167191767,False,nan,nan,nan,nan,nan,0.0,0,1
326,10.87542436462928,False,nan,nan,nan,nan,nan,0.0,0,1
327,10.908784562066794,False,nan,nan,nan,nan,nan,0.0,0,1
328,10.942144759504306,False,nan,nan,nan,nan,nan,0.0,0,1
329,10.975504956941819,False,nan,nan,nan,nan,nan,0.0,0,2
330,11.008865154379333,False,nan,nan,nan,nan,nan,0.0,0,1
331,11.042225351816846,False,nan,nan,nan,nan,nan,0.0,0,2
332,11.07558554925436,False,nan,nan,nan,nan,nan,0.0,0,1
333,11.108945746691871,False,nan,nan,nan,nan,nan,0.0,0,0
334,11.142305944129385,False,nan,nan,nan,nan,nan,0.0,0,1
335,11.175666141566898,False,nan,nan,nan,nan,nan,0.0,0,2
336,11.209026339004412,False,nan,nan,nan,nan,nan,0.0,0,2
337,11.242386536441925,False,nan,nan,nan,nan,nan,0.0,0,2
338,11.275746733879437,False,nan,nan,nan,nan,nan,0.0,0,2
339,11.30910693131695,False,nan,nan,nan,nan,nan,0.0,0,2
340,11.342467128754464,False,nan,nan,nan,nan,nan,0.0,0,1
341,11.375827326191978,False,nan,nan,nan,nan,nan,0.0,0,1
342,11.40918752362949,False,nan,nan,nan,nan,nan,0.0,0,0
343,11.442547721067003,False,nan,nan,nan,nan,nan,0.0,0,1
344,11.475907918504516,False,nan,nan,nan,nan,nan,0.0,0,2
345,11.50926811594203,False,nan,nan,nan,nan,nan,0.0,0,1
346,11.542628313379543,False,nan,nan,nan,nan,nan,0.0,0,1
347,11.575988510817055,False,nan,nan,nan,nan,nan,0.0,0,0
348,11.609348708254569,False,nan,nan,nan,nan,nan,0.0,0,0
349,11.642708905692082,False,nan,nan,nan,nan,nan,0.0,0,0
350,11.676069103129596,False,nan,nan,nan,nan,nan,0.0,0,0
351,11.709429300567109,False,nan,nan,nan,nan,nan,0.0,0,0
352,11.74278949800462,False,nan,nan,nan,nan,nan,0.0,0,0
353,11.776149695442134,False,nan,nan,nan,nan,nan,0.0,0,0
354,11.809509892879648,False,nan,nan,nan,nan,nan,0.0,0,0
355,11.842870090317161,False,nan,nan,nan,nan,nan,0.0,0,1
356,11.876230287754675,False,nan,nan,nan,nan,nan,0.0,0,0
357,11.909590485192187,False,nan,nan,nan,nan,nan,0.0,0,1
358,11.9429506826297,False,nan,nan,nan,nan,nan,0.0,0,0
359,11.976310880067214,False,nan,nan,nan,nan,nan,0.0,0,0
360,12.009671077504727,False,nan,nan,nan,nan,nan,0.0,0,0
361,12.043031274942239,False,nan,nan,nan,nan,nan,0.0,0,0
362,12.076391472379752,False,nan,nan,nan,nan,nan,0.0,0,1
363,12.109751669817266,False,nan,nan,nan,nan,nan,0.0,0,0
364,12.14311186725478,False,nan,nan,nan,nan,nan,0.0,0,0
365,12.176472064692293,False,nan,nan,nan,nan,nan,0.0,0,0
366,12.209832262129805,False,nan,nan,nan,nan,nan,0.0,0,0
367,12.243192459567318,False,nan,nan,nan,nan,nan,0.0,0,0
368,12.276552657004832,False,nan,nan,nan,nan,nan,0.0,0,0
369,12.309912854442345,False,nan,nan,nan,nan,nan,0.0,0,0
370,12.343273051879859,False,nan,nan,nan,nan,nan,0.0,0,1
371,12.37663324931737,False,nan,nan,nan,nan,nan,0.0,0,1
372,12.409993446754884,False,nan,nan,nan,nan,nan,0.0,0,0
373,12.443353644192397,False,nan,nan,nan,nan,nan,0.0,0,1
374,12.47671384162991,False,nan,nan,nan,nan,nan,0.0,0,0
375,12.510074039067423,False,nan,nan,nan,nan,nan,0.0,0,0
376,12.543434236504936,False,nan,nan,nan,nan,nan,0.0,0,1
377,12.57679443394245,False,nan,nan,nan,nan,nan,0.0,0,1
378,12.610154631379963,False,nan,nan,nan,nan,nan,0.0,0,1
379,12.643514828817477,False,nan,nan,nan,nan,nan,0.0,0,1
380,12.676875026254988,False,nan,nan,nan,nan,nan,0.0,0,1
381,12.710235223692502,False,nan,nan,nan,nan,nan,0.0,0,1
382,12.743595421130015,False,nan,nan,nan,nan,nan,0.0,0,0
383,12.776955618567529,False,nan,nan,nan,nan,nan,0.0,0,0
384,12.810315816005042,False,nan,nan,nan,nan,nan,0.0,0,0
385,12.843676013442554,False,nan,nan,nan,nan,nan,0.0,0,1
386,12.877036210880068,False,nan,nan,nan,nan,nan,0.0,0,1
